year,period,imports,exportsfob,balance,total_trade,crude_oil_exports,non_crude_oil_exports,non_oils_exports,exports_/_total_trade,crude_oil_/total_exports,non_oil_export/total_export,change_imports,change_exports,month_num,frequency
2020,Jan,1243317.892853,1706683.586191651,463365.693338651,2950001.4790446507,1224559.9537473998,482123.6324442511,278021.72091524006,57.85365188170534,71.75084846746095,16.29017371261106,-10.95930681957786,-2.976028124425881,1.0,monthly
2020,Feb,1104347.303325,1438825.13027364,334477.82694863994,2543172.43359864,1057258.59921976,381566.53105388,220017.89697758004,56.57599584144885,73.48068760925015,15.291496676579202,-11.177398019191118,-15.694675807817374,2.0,monthly
2020,Mar    ,1228902.657254,964261.22093354,-264641.43632045994,2193163.87818754,662778.22707367,301482.99385987,125958.8942433,43.96667437959167,68.73430276829009,13.062735647644748,11.27863974983098,-32.982737050877475,,monthly
2020,Apr,735170.936763,686158.3326791801,-49012.6040838199,1421329.2694421802,415842.40359942,270315.9290797601,159615.60749805,48.27581809727117,60.604438333601216,23.26221221781472,-40.17663381038254,-28.841032099695703,4.0,monthly
2020,May,749205.79949,752669.547533699,3463.748043698957,1501875.347023699,514825.43651724,237844.11101645892,115116.69269691,50.11531409882195,68.39992905308686,15.294453332689924,1.9090611482543556,9.693275106755404,5.0,monthly
2020,Jun,948855.340883,786125.2744781789,-162730.06640482112,1734980.615361179,623271.24402996,162854.03044821892,78229.64941715,45.310320329690114,79.28395947372134,9.951295544985236,26.648157492761754,4.444942279663849,6.0,monthly
2020,Jul,1010882.241735,1104890.184727991,94007.94299299095,2115772.426462991,876896.45132825,227993.733399741,110488.30645929,52.221598642112646,79.36503224020676,9.999935557984047,6.537023946587903,40.54886932129292,7.0,monthly
2020,Aug,1126294.634334,992111.02440077,-134183.6099332301,2118405.65873477,806258.5820008101,185852.4423999599,62926.71227362,46.8329104159075,81.26697135411696,6.3427087015414845,11.4169967414716,-10.207273255394671,8.0,monthly
2020,Sep,1047415.852937,896463.12557997,-150952.72735703003,1943878.9785169696,741619.01400925,154844.11157071998,41744.23539200999,46.11722928676878,92.48230708264664,4.656547960631778,-7.00338783409393,-9.640846283163809,9.0,monthly
2020,Oct,1185140.948853,998403.397730406,-186737.55112259404,2183544.346583406,829069.78068156,169333.61704884598,37913.733508976,45.72398079721206,81.37534528767529,3.79743634638688,13.149036796589709,11.371384861422545,10.0,monthly
2020,Nov,1339819.707534,1025050.168987806,-314769.538546194,2364869.876521806,812454.212267,212595.95672080608,75657.406873448,43.344886717210215,85.8320992261859,7.3808491684028015,13.05150740346123,2.6689383587810407,11.0,monthly
2020,Dec,981590.491865,1171043.4503306411,189452.95846564116,2152633.942195641,879822.0781638001,291221.37216684106,127711.667204341,54.40049175923528,215.30764468222455,10.905800905020383,-26.73712094654418,14.242549853632752,12.0,monthly
2021,Jan,1315216.672655,895199.007440075,-420017.6652149248,2210415.6800950747,631898.65578822,263300.35165185505,107990.905518745,40.49912491579731,70.58750630155491,12.06334062272449,33.98832645130024,-23.55544047598593,1.0,monthly
2021,Feb,1582037.53820555,984812.72960036,-597224.80860519,2566850.26780591,694808.12026748,290004.60933288,79845.87129253,38.3665826539293,70.55230902117148,8.107721284729099,20.287217391483075,10.010480509417205,2.0,monthly
2021,Mar    ,1977933.63818037,1104920.21759283,-873013.4205875399,3082853.8557732003,716191.21686105,388729.0007317801,180033.86348272,35.84082377189783,64.81836475228394,16.29383376430022,25.024444137012768,12.195972328790877,,monthly
2021,Apr,1311391.773233,1651887.735034635,340495.9618016351,2963279.508267635,1341688.5626138,310199.1724208351,135976.23084503497,55.74525556653771,81.22153425793604,8.231566102292295,-33.698899299804886,49.5028970176167,4.0,monthly
2021,May,1475773.156539,1575938.353398878,100165.19685987826,3051711.5099378778,1307029.460489106,268908.8929097722,140941.28946529995,51.64113148529425,82.93658553776501,8.94332504576256,12.534879862845813,-4.597732643990151,5.0,monthly
2021,Jun,1905169.394656,1791856.6360458669,-113312.75861013331,3697026.0307018673,1423606.4460538,368250.1899920669,132897.08251946696,48.46751473117676,79.44868006825068,7.416725191404494,29.096357811794416,13.70093456900206,6.0,monthly
2021,Jul,1740754.869636,1677197.803552972,-63557.06608302821,3417952.6731889723,1444686.8938993,232510.90965367176,85286.87170714201,49.070246545811166,86.13694167968016,5.0850812901418365,-8.629916346608484,-6.3988842737952165,7.0,monthly
2021,Aug,2005917.773928,1421104.606828588,-584813.1670994118,3427022.380756588,1073795.1695626,347309.437265988,143972.96186910805,41.46761966914407,75.56060014181068,10.131060104745258,15.232638949758996,-15.269111143711052,8.0,monthly
2021,Sep,1589188.659941,2038252.7383824296,449064.0784414299,3627441.3983234297,1507701.373958,530551.3644244298,323265.34672175004,56.18981851297424,73.97028570433916,15.859924563540408,-20.77498486744841,43.427354227716,9.0,monthly
2021,Oct,2084494.290728,1977179.35352142,-107314.93720658009,4061673.64424942,1487004.6683012,490174.6852202199,260115.88916951,48.6789320535573,75.20838540281119,13.155907616890458,31.16720143254664,-2.996359760050077,10.0,monthly
2021,Nov,2215736.477161,2065113.029666501,-150623.44749449845,4280849.506827501,1511558.57548653,553554.454179971,368370.450205342,48.24072947140199,73.19495610032708,17.837786354233156,6.29611637780806,4.44743042599896,11.0,monthly
2021,Dec,1640350.707599,1724326.502707874,83975.79510887386,3364677.210306874,1270799.9403864,453526.5623214741,182388.749516058,51.24790269407767,73.69833603965037,10.577390606108272,-25.968149890244863,-16.50207625747543,12.0,monthly
2022,Jan,2054609.270598168,2197925.267800184,143315.99720201595,4252534.538398352,1739430.011261235,458495.256538949,193212.8431012188,51.68506564623922,79.13963394224778,8.790692110046027,25.254267948926785,27.465724405938943,1.0,monthly
2022,Feb,2013613.559120892,2093794.550854286,80180.99173339386,4107408.109975178,1671939.1600122,421855.39084208594,174688.94431517553,50.9760533843553,79.85211153262553,8.343175038061922,-1.9953045118569268,-4.737682325756158,2.0,monthly
2022,Mar,3427450.689832481,2810393.8081261897,-617056.8817062913,6237844.497958671,2209623.00185684,600770.80626935,348947.6316148201,45.05392542321131,78.6232518541624,12.41632509315406,70.21392582044616,34.22490792993636,3.0,monthly
2022,Apr,1713699.188916,2262107.364440113,548408.1755241128,3975806.553356113,1743208.86504189,518898.4993982229,217676.98427639296,56.896816635371536,77.0612788961653,9.622752115935466,-50.00076313279482,-19.50923895792537,4.0,monthly
2022,May,2051813.964796,2632300.330990193,580486.366194193,4684114.295786193,2180188.336089119,452111.9949010741,237290.47461344305,56.196330080122046,82.82445245406313,9.01456691015882,19.730112383018295,16.364960053154036,5.0,monthly
2022,Aug,2174999.349059414,1957365.677593066,-217633.67146634823,4132365.02665248,1536472.3187595,420893.3588335658,166497.69479725068,47.36671772625751,78.49694803317846,8.506213054782364,-7.927421751757081,-10.120012647491471,8.0,monthly
2022,Sep,1806266.277856176,1799025.670779604,-7240.607076572021,3605291.94863578,1403641.63901779,395384.0317618139,138367.80005564075,49.89958362346616,78.02232407331492,7.691263237821357,-16.953249726842355,-8.089444329491334,9.0,monthly
2022,Oct,2187190.322558785,2081244.63200076,-105945.69055802491,4268434.954559545,1660199.5415539,421045.09044686006,194022.91659001983,48.75896327710401,79.76955308506443,9.322446463369376,21.08903041442597,15.687322632748032,10.0,monthly
2022,Nov,1939908.763047,1925285.299893031,-14623.46315396903,3865194.062940031,1534807.1003188998,390478.1995741311,181529.2098174109,49.81083144965241,79.71842409040228,9.428691416669349,-11.305900403879406,-7.493560810186974,11.0,monthly
2022,Dec,1235728.859922,2353078.399971273,1117349.5400492728,3588807.259893273,1716909.91607859,636168.4838926827,356686.0975405227,65.56714333110357,72.96441614948107,15.158275115052572,-36.29964029952367,22.21972505072418,12.0,monthly
2023,Jan,2317542.662504146,2286075.554270498,-31467.108233647887,4603618.216774644,1797906.24053764,488169.3137328581,260798.07789446783,49.65823503653074,78.64596763563065,11.408112798690516,87.54459312785093,-2.8474548787491654,1.0,monthly
2023,Feb,1944656.294778032,1916083.948387284,-28572.346390748164,3860740.243165316,1520811.52152861,395272.4268586738,198598.25015090383,49.6299628492058,79.37081894604023,10.36479901196702,-16.089730461453666,-16.184574704543436,2.0,monthly
2023,Mar,2203903.4273909847,2284879.379097669,80975.9517066842,4488782.806488654,1829861.90816411,455017.4709335589,204377.52216946887,50.90198117393463,80.08571152174993,8.944783870830875,13.331257215432194,19.24735244615928,3.0,monthly
2023,Apr,1934419.199226681,1786236.2049599,-148182.99426678102,3720655.404186581,1390806.9148952,395429.2900647,197245.48011066,48.00864393273237,77.86243000972107,11.042519436285192,-12.227587870459615,-21.823610414598352,4.0,monthly
2023,May,2645166.164524198,1887512.453980543,-757653.7105436551,4532678.618504741,1466062.7807437,421449.67323684297,211501.22926025305,41.64231821498969,77.67168781599004,11.205289205600826,36.74213767014157,5.669812801880626,5.0,monthly
2023,Jun,1722363.391956975,2761381.5481257727,1039018.1561687978,4483744.940082748,2148838.07653739,612543.471588383,292880.8291001534,61.58649934433629,77.81749964961801,10.60631513594852,-34.88638199533348,46.2973948755857,6.0,monthly
2023,Jul,2864333.552654,3016388.880197063,152055.3275430631,5880722.432851063,2452245.1840205,564143.6961765629,267511.26554476283,51.29282863865201,81.29738178388634,8.868593413170457,66.3025100295183,9.23477352285384,7.0,monthly
2023,Aug,3485482.724620862,3462597.683406026,-22885.04121483583,6948080.408026888,2826538.6425026003,636059.0409034258,234170.9613457257,49.83531392938115,81.63058203522627,6.762869462656735,21.685643817261607,14.792814220287532,8.0,monthly
2023,Sep,2691420.822132155,3867617.286985065,1176196.46485291,6559038.109117219,3256828.368193,610788.9187920648,181340.25833520436,58.96622679488605,84.20761741738426,4.688681554543496,-22.78197785573825,11.696987077650798,9.0,monthly
2023,Oct,3457686.161313038,4141072.896035491,683386.7347224532,7598759.057348529,3560711.422371,580361.4736644924,290144.0079974318,54.496699589794005,85.98523889255587,7.006493613652751,28.47066251697661,7.070389564413062,10.0,monthly
2023,Nov,3014709.160280184,4267979.998296103,1253270.8380159196,7282689.158576287,3345174.39791802,922805.6003780809,413042.8763415292,58.60445098456547,78.37839913152145,9.677713496933624,-12.811370967937584,3.064594742635521,11.0,monthly
2023,Dec,2581381.974809106,4284566.608943998,1703184.634134892,6865948.583753103,3404818.1130188,879748.4959251992,392243.4691320178,62.403126919455374,79.46703654720338,9.154799188165558,-14.373764181975185,0.3886290623320638,12.0,monthly
2024,Jan,3716195.542458,6246957.736377971,2530762.193919971,9963153.27883597,5200489.418373885,1046468.3180040866,591272.4189905031,62.7006085477772,83.24835284365416,9.464965891274412,43.961474075637874,45.801391518514336,1.0,monthly
2024,Feb,4822305.79483837,6657421.749213317,1835115.954374948,11479727.544051688,5483536.29869788,1173885.450515438,468030.4438290382,57.992855001710495,82.36726626709279,7.030205708153364,29.76458692076134,6.570622535911952,2.0,monthly
2024,Mar,5431552.696993509,6262979.699882366,831427.0028888565,11694532.396875875,4802606.93912326,1460372.760759106,719545.388877701,53.55476805173915,76.68246057405341,11.488866695372115,12.633933393590604,-5.924846948108123,3.0,monthly
2024,Apr,4445749.6540619405,5546168.819648637,1100419.165586697,9991918.473710578,3965351.17741404,1580817.6422345974,681225.4651436796,55.506545957525454,71.49712362461506,12.282811564088613,-18.14956234296012,-11.445205231100967,4.0,monthly
2024,May,4875383.94365649,5946152.736965321,1070768.7933088308,10821536.68062181,4414195.385052392,1531957.3519129287,679423.6243027803,54.94739714381907,74.23615874531372,11.426272656587209,9.66393348761792,7.211895820762691,5.0,monthly
2024,Jun,4176763.576441113,6053301.062954624,1876537.4865135115,10230064.639395736,4229848.2940929765,1823452.768861648,583599.3428890817,59.17167951846076,69.87672098417623,9.641009703955252,-14.329545637618416,1.801977357951074,6.0,monthly
2024,Jul,4971869.478460282,7094192.454182182,2122322.9757219004,12066061.932642464,4394083.471394627,2700108.982787555,1164602.5930115038,58.79459672745568,61.93916361550381,16.416281353136185,19.03641150540423,17.19543403511964,7.0,monthly
2024,Aug,5317277.061384959,7345006.78541366,2027729.724028701,12662283.84679862,5107035.902322699,2237970.883090961,676698.7447258008,58.00696678641179,69.53071728217714,9.21304451439918,6.947237541554388,3.5354881172361923,8.0,monthly
2024,Sep,4384900.25829181,6047190.706325478,1662290.448033668,10432090.964617288,3905247.85038826,2141942.8559372183,660548.588535919,57.96719686241085,64.57953850046924,10.923230647331373,-17.53485463197396,-17.66936528452902,9.0,monthly

